# girsa-hebrew regression corpus. GENERATED by examples/harvest.rs from the
# Otzaria text tree; every left and right value is a string that genuinely
# occurs in a sefer. Do not hand-edit — regenerate.
#
# kind	left	right	where-left	where-right
nikud	מֵרֵשִׁית	מרשית	בן יהוידע על ראש השנה	אגרת הקדש
nikud	עָרֶיךָ	עריך	איכה רבה	כד הקמח
nikud	וְהַמִּשְׁתֶּה	והמשתה	משנה תורה, הלכות מגילה וחנוכה	תורת העולה
nikud	וּבְגוּפוֹ	ובגופו	משנה פרה	ספר המצוות
nikud	שֶׁבְּרִית	שברית	איכה רבה	אמרי שפר
nikud	גְּמִירְנָא	גמירנא	חגיגה	כסף משנה על משנה תורה, הלכות עבודת יום הכפורים
nikud	סַנְהֶדְּרֵי	סנהדרי	איכה רבה	שורשי הים על משנה תורה, הלכות סנהדרין והעונשין המסורין להם
nikud	שִׂיחִי	שיחי	מחזור יום כיפור עדות המזרח	יש סדר למשנה על משנה יומא
nikud	לִבְסוּמֵי	לבסומי	בן יהוידע על מגילה	משנה למלך על משנה תורה, הלכות כלי המקדש והעובדין בו
nikud	דְּאָכְלוּ	דאכלו	בן יהוידע על מגילה	לחם משנה על משנה תורה, הלכות נזירות
nikud	מְשָׁעֵר	משער	תלמוד ירושלמי מעשרות	אבן האזל על משנה תורה, הלכות אישות
nikud	הֶחָנוּת	החנות	תלמוד ירושלמי מעשרות	פתחי תשובה על שולחן ערוך חושן משפט
nikud	וַיִּמְצְאוּ	וימצאו	איכה רבה	שפת אמת
nikud	יֶחְסַר	יחסר	מחזור יום כיפור עדות המזרח	דרך פקודיך
nikud	שֶׁדָּמוֹ	שדמו	תלמוד ירושלמי שקלים	הערות ותיקונים על מדרש אגדה
nikud	שֶׁיֵּעָשׂוּ	שיעשו	משנה תורה, הלכות מעילה	קסת הסופר
nikud	וְרָחֲצוּ	ורחצו	משנה תורה, הלכות טומאת אוכלים	ספר המצוות
nikud	בִּישִׁיבָה	בישיבה	מחזור יום כיפור עדות המזרח	מעשה רב
nikud	נִמְנוּ	נמנו	חגיגה	קסת הסופר
nikud	טֶרֶף	טרף	הזוהר המתורגם - בראשית	אור שמח על משנה תורה, הלכות שגגות
nikud	נָסַ֣כְתִּי	נסכתי	מחזור יום כיפור עדות המזרח	עבודת הקודש (גבאי)
nikud	שֶׁבְּצִדּוֹ	שבצדו	משנה תורה, הלכות טומאת אוכלים	תורת העולה
nikud	מְייָשָׁא	מיישא	תלמוד ירושלמי מעשרות	תורת חיים על עירובין
nikud	כָּאֵל	כאל	מחזור יום כיפור עדות המזרח	פירוש מהרזו על ויקרא רבה
nikud	וְשׁוֹעַ	ושוע	איכה רבה	פתחי תשובה על שולחן ערוך חושן משפט
nikud	רִמּ֞וֹן	רמון	יואל	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב
nikud	אֲמִתֶּֽךָ	אמתך	מחזור יום כיפור עדות המזרח	יפה תואר על שמות רבה
gershayim	הרב"י	הרב״י	לחם משנה על משנה תורה, הלכות נזירות	לחם משנה על משנה תורה, הלכות נזירות
gershayim	בר"ש	בר״ש	בן אריה על משנה תורה, הלכות שאר אבות הטומאות	כסף משנה על משנה תורה, הלכות עבודת יום הכפורים
gershayim	נתבטל'	נתבטל׳	נחל אשכול על אסתר	ריטבא על מכות
gershayim	הַמַּיִם'	המים׳	בן יהוידע על ראש השנה	מצודת דוד על שופטים
gershayim	הַמָּיִם״	המים"	חגיגה	חברותא על תענית
gershayim	הלך'	הלכ׳	פירושים והערות מהרב יהושע הרטמן על נתיבות עולם	ריטבא על מכות
gershayim	הלכ'	הלכ׳	יד דוד על משנה תורה, הלכות נדרים	ריטבא על מכות
gershayim	שביעי'	שביעי׳	שער המלך על משנה תורה, הלכות עבודה זרה וחוקות הגויים	ריטבא על מכות
gershayim	וכ"ה	וכ״ה	מעשה רב	הגהות על מסכת עבדים
gershayim	מטעמ'	מטעמ׳	שורשי הים על משנה תורה, הלכות ערכים וחרמין	ריטבא על מכות
gershayim	שכ"ג	שכ״ג	כסף משנה על משנה תורה, הלכות עבודת יום הכפורים	כסף משנה על משנה תורה, הלכות עבודת יום הכפורים
gershayim	ובתוספ'	ובתוספ׳	עיקר תוספות יום טוב על משנה פסחים	תוספתא כפשוטה על שביעית
gershayim	באל"ף	באל״ף	קיצור שע ילקוט יוסף החדש - אבן העזר	מצודת ציון על שמואל א
gershayim	עומד'	עומד׳	פירושים והערות מהרב יהושע הרטמן על נתיבות עולם	ריטבא על מכות
gershayim	שאפי'	שאפי׳	קסת הסופר	איסור והיתר לרשי
gershayim	רש"י	רש״י	מעשה רב	כסף משנה על משנה תורה, הלכות גזילה ואבידה
gershayim	רש"י	רש”י	מעשה רב	תורת העולה
gershayim	רש״י	רש”י	כסף משנה על משנה תורה, הלכות גזילה ואבידה	תורת העולה
gershayim	דר"ל	דר״ל	מעשה רב	מגיד משנה על משנה תורה, הלכות שחיטה
gershayim	ביו"ט	ביו״ט	מעשה רב	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב
gershayim	וכדר'	וכדר׳	שער המים הארוך	ריטבא על מכות
gershayim	תוס'	תוס׳	מעשה רב	ריטבא על מכות
gershayim	וא"א	וא״א	מעשה רב	לחם משנה על משנה תורה, הלכות נזירות
gershayim	בפני'	בפני׳	שורשי הים על משנה תורה, הלכות תמידים ומוספין	ריטבא על מכות
gershayim	פָּנִים״	פנים"	חגיגה	חפץ חיים על ספרא
gershayim	נפשי'	נפשי׳	ברית משה	ריטבא על מכות
gershayim	סמ"ך	סמ״ך	קסת הסופר	מצודת דוד על שופטים
gershayim	אֱלֹהֶיךָ״	אֱלהֶיךָ"	חגיגה	משיבת נפש
gershayim	אֱלֹהֶיךָ״	אלהיך"	חגיגה	הערות על חברותא על ראש השנה
gershayim	בע"ש	בע״ש	מעשה רב	לחם משנה על משנה תורה, הלכות נזירות
gershayim	שקלי'	שקלי׳	אבן האזל על משנה תורה, הלכות שחיטה	ריטבא על מכות
gershayim	יו"ד	יוֹ״ד	מעשה רב	מחזור יום כיפור עדות המזרח
gershayim	יו"ד	יו״ד	מעשה רב	איסור והיתר לרשי
gershayim	יוֹ״ד	יוּ"ד	מחזור יום כיפור עדות המזרח	איכה רבה
gershayim	יוּ"ד	יו״ד	איכה רבה	איסור והיתר לרשי
gershayim	קיי"ל	קיי״ל	קיצור שע ילקוט יוסף החדש - אבן העזר	ברטנורא על משנה ביצה
gershayim	בכ"ר	בכ”ר	דרך פקודיך	תורת העולה
gershayim	בע"מ	בע״מ	אבן האזל על משנה תורה, הלכות אישות	מגיד משנה על משנה תורה, הלכות שחיטה
gershayim	קט"ו	קט״ו	אבן האזל על משנה תורה, הלכות אישות	סדר עולם זוטא
gershayim	שהר"א	שהר״א	לחם משנה על משנה תורה, הלכות פסולי המוקדשין	לחם משנה על משנה תורה, הלכות נזירות
gershayim	יְשָׁרָה״	ישרה"	חגיגה	חברותא על ברכות
gershayim	דהדרי'	דהדרי׳	הגהות רבי עקיבא איגר על שלחן ערוך חושן משפט	ריטבא על מכות
gershayim	דע"י	דע״י	דרך פקודיך	כסף משנה על משנה תורה, הלכות שלוחין ושותפין
gershayim	הָאֵשׁ״	האש"	חגיגה	חפץ חיים על ספרא
gershayim	האש'	האש׳	בית יצחק אבן העזר חלק ב	ריטבא על מכות
gershayim	דקאמ'	דקאמ׳	שורשי הים על משנה תורה, הלכות ערכים וחרמין	ריטבא על מכות
gershayim	תַּלְמוּד'	תלמוד׳	בן יהוידע על מגילה	ריטבא על מכות
gershayim	תלמוד'	תלמוד׳	שורשי הים על משנה תורה, הלכות סנהדרין והעונשין המסורין להם	ריטבא על מכות
gershayim	לכ"ג	לכ״ג	ברית משה	ברטנורא על משנה הוריות
gershayim	פרכי'	פרכי׳	שער המלך על משנה תורה, הלכות שבת	ריטבא על מכות
gershayim	ומכ"ש	ומכ״ש	קסת הסופר	מצודת דוד על חבקוק
gershayim	בר"פ	בר״פ	יד איתן על משנה תורה, הלכות בכורות	כסף משנה על משנה תורה, הלכות עבודת יום הכפורים
gershayim	לדר'	לדר׳	מגיד משנה על משנה תורה, הלכות שחיטה	ריטבא על מכות
gershayim	טוֹב״	טוב"	חגיגה	קיצור שע ילקוט יוסף החדש - אבן העזר
gershayim	לבה"כ	לבה״כ	דרך פקודיך	באר היטב אורח חיים
gershayim	מִסְפָּר״	מספר"	חגיגה	באר הגולה
gershayim	דדרשי'	דדרשי׳	שורשי הים על משנה תורה, הלכות תמידים ומוספין	ריטבא על מכות
gershayim	הַשַּׁבָּת״	השבת"	חגיגה	שות רבז אורח חיים
gershayim	מעיקר'	מעיקר׳	שורשי הים על משנה תורה, הלכות חובל ומזיק	ריטבא על מכות
gershayim	מפי'	מפי׳	קיצור שע ילקוט יוסף החדש - אבן העזר	ריטבא על מכות
gershayim	והראב"ד	והראב״ד	קיצור שע ילקוט יוסף החדש - אבן העזר	כסף משנה על משנה תורה, הלכות שלוחין ושותפין
gershayim	בפט"ו	בפט״ו	אבן האזל על משנה תורה, הלכות שקלים	לחם משנה על משנה תורה, הלכות נזירות
gershayim	ופרקי'	ופרקי׳	רבינו חננאל על מסכת מכות	ריטבא על מכות
gershayim	שפירש"י	שפירש״י	לחם משנה על משנה תורה, הלכות אבל	לחם משנה על משנה תורה, הלכות נזירות
gershayim	וי"ו	וי״ו	קסת הסופר	מצודת דוד על שופטים
gershayim	וא"ת	וא״ת	דרך פקודיך	כסף משנה על משנה תורה, הלכות שלוחין ושותפין
gershayim	שצ"ה	שצ״ה	משנה למלך על משנה תורה, הלכות שבועות	סדר עולם זוטא
gershayim	יוה"ך	יוה״כ	שורשי הים על משנה תורה, הלכות תמידים ומוספין	כסף משנה על משנה תורה, הלכות עבודת יום הכפורים
gershayim	יוה"כ	יוה״כ	דרך פקודיך	כסף משנה על משנה תורה, הלכות עבודת יום הכפורים
gershayim	איסורי'	איסורי׳	שער המלך על משנה תורה, הלכות שבת	ריטבא על מכות
gershayim	אָדָם״	אדם"	חגיגה	פירושים והערות מהרב יהושע הרטמן על נתיבות עולם
gershayim	אי"ה	אי״ה	קסת הסופר	כללי התחלת החכמה
gershayim	והכ"ף	והכ״ף	מלבים באור המילות על יחזקאל	מצודת ציון על שמואל א
gershayim	כרש"י	כרש״י	קסת הסופר	מגיד משנה על משנה תורה, הלכות שחיטה
gershayim	ובגמר'	ובגמר׳	הגהות רבי עקיבא איגר על שלחן ערוך חושן משפט	ריטבא על מכות
gershayim	באמ'	באמ׳	טורי זהב על שולחן ערוך אבן העזר	ריטבא על מכות
gershayim	תָּמִיד״	תמיד"	חגיגה	חברותא על ברכות
gershayim	חזק'	חזק׳	הגהות רבי עקיבא איגר על שלחן ערוך חושן משפט	ריטבא על מכות
gershayim	שביהמ"ק	שביהמ״ק	דרך פקודיך	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב
gershayim	דנפק'	דנפק׳	תוספות ריד על פסחים	ריטבא על מכות
prefix	המכתשת	מַכְתֶּשֶׁת	שער המים הארוך	תלמוד ירושלמי שקלים
prefix	דסוחרים	סוחרים	תוספות הריד על תלמוד ירושלמי שביעית	טורי זהב על שולחן ערוך אבן העזר
prefix	החוף	חוף	קיצור שע ילקוט יוסף החדש - אבן העזר	קיצור שע ילקוט יוסף החדש - אבן העזר
prefix	ובזיון	בִזָּיוֹן	קיצור שע ילקוט יוסף החדש - אבן העזר	מחזור יום כיפור עדות המזרח
prefix	ללדת	לֵדַת	הערות ותיקונים על מדרש אגדה	בן יהוידע על ראש השנה
prefix	לְהַרְהֵר	הִרְהֵר	משנה תורה, הלכות מעילה	איכה רבה
prefix	וְגֵירְשָׁהּ	גֵירְשָׁהּ	תלמוד ירושלמי קידושין	תלמוד ירושלמי קידושין
prefix	בארוכה	אֲרוּכָה	אור שמח על משנה תורה, הלכות שגגות	מחזור יום כיפור עדות המזרח
prefix	לדרוסה	דְּרוֹסָה	מגיד משנה על משנה תורה, הלכות שחיטה	תלמוד ירושלמי קידושין
prefix	בהסכמתם	הסכמתם	שות די השב	ספר המצוות
prefix	התרועה	תרועה	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב
prefix	ברחוקים	רחוקים	אבן האזל על משנה תורה, הלכות עדות	אבן האזל על משנה תורה, הלכות עדות
prefix	לֶאֱחוֹז	אָחוּז֙	חגיגה	אסתר
prefix	בשטף	שְׁטַף	יפה תואר על שמות רבה	תלמוד ירושלמי שקלים
prefix	בְּמֵיטַב	מיטב	משנה בבא קמא	אבן האזל על משנה תורה, הלכות אישות
prefix	שבסמוך	בסמוך	הון עשיר על משנה עירובין	קסת הסופר
prefix	ולאמו	לְאִמּוֹ	לחם משנה על משנה תורה, הלכות אבל	משנה תורה, הלכות שאלה ופיקדון
prefix	וסותמת	סותמת	הון עשיר על משנה עירובין	רש משאנץ על משנה אהלות
prefix	למגילה	מגילה	נחל איתן על משנה תורה, הלכות מגילה וחנוכה	קסת הסופר
prefix	בָּעֵדִים	עֵדִים	תלמוד ירושלמי קידושין	משנה תורה, הלכות שאלה ופיקדון
prefix	מיגיעו	יגיעו	אגרת הקדש	הגהות מהרם פדווא על משנה תורה, הלכות סנהדרין והעונשין המסורין להם
prefix	שיתקרב	יתקרב	מלאכת שלמה על משנה תורה, הלכות שקלים	מלאכת שלמה על משנה תורה, הלכות שקלים
prefix	ונתיישב	נתיישב	אור שמח על משנה תורה, הלכות איסורי המזבח	אבן האזל על משנה תורה, הלכות שחיטה
prefix	הוֹאִיל	וְאֵיל	משנה תורה, מסירת תורה שבעל פה	מחזור יום כיפור עדות המזרח
prefix	לאיתן	אֵיתָן	יד איתן על משנה תורה, הלכות עירובין	חק לישראל - דברים
prefix	בתשלום	תַּשְׁלוּם	קיצור שע ילקוט יוסף החדש - אבן העזר	משנה תורה, מסירת תורה שבעל פה
prefix	הַיָּתֵד	יתד	משנה תורה, הלכות טומאת אוכלים	מעשה רקח על הלכות תפילין ומזוזה וספר תורה
prefix	המשובח	משובח	כתר שם טוב	מעשה רב
prefix	לְבָבֶל	בְּבַל	איכה רבה	תלמוד ירושלמי קידושין
prefix	בַּדֶּשֶׁן	דֶּשֶׁן	חגיגה	משנה תורה, הלכות מעילה
prefix	וְהַדְּבַשׁ	הַדְּבַשׁ	משנה תורה, הלכות טומאת אוכלים	משנה תורה, הלכות טומאת אוכלים
prefix	מברייתא	ברייתא	ברית משה	ברית משה
prefix	הגרה	גֵּרָה	מלאכת שלמה על משנה בכורות	תלמוד ירושלמי שקלים
prefix	דמשכן	מִשְׁכַּן	הר המוריה על משנה תורה, הלכות תמורה	מחזור יום כיפור עדות המזרח
prefix	מדמצינו	דמצינו	נחל איתן על משנה תורה, הלכות מגילה וחנוכה	דרך פקודיך
prefix	בָּאתָה	אַ֑תָּה	איכה רבה	מחזור יום כיפור עדות המזרח
prefix	ובקרב	בְּקֶ֤רֶב	סידור רשי	מחזור יום כיפור עדות המזרח
prefix	לִיהוּדָה	יְהוּדְה	משנה מעשרות	תלמוד ירושלמי שקלים
prefix	הַסָּפֵק	סְפֵק	תלמוד ירושלמי קידושין	משנה תורה, הלכות שאלה ופיקדון
prefix	וּבָנִים	בָּנִ֖ים	משנה תורה, הלכות עבדים	מחזור יום כיפור עדות המזרח
prefix	וגליון	גליון	שינויי נוסחאות על תרומות	קסת הסופר
prefix	מַלְכוּתִי	לְכוּתִי	איכה רבה	משנה תורה, הלכות עבדים
prefix	בכתבו	כְתָבוֹ	קסת הסופר	תלמוד ירושלמי קידושין
prefix	באומצא	אומצא	זית רענן חלק ב	איסור והיתר לרשי
prefix	והסיח	הסיח	עיקר תוספות יום טוב על משנה פסחים	קסת הסופר
prefix	וַעֲ֘וֺנִ֤י	עֲוֹנַי	מחזור יום כיפור עדות המזרח	איכה רבה
prefix	הרבי	רְבִּי	מתנות כהונה על שמות רבה	תלמוד ירושלמי קידושין
prefix	ביער	יָעַר	מגדל עוז על משנה תורה, הלכות חמץ ומצה	תלמוד ירושלמי קידושין
prefix	לקלות	קַלּוֹת	דרך פקודיך	משנה תורה, הלכות טומאת אוכלים
prefix	כִּרְצוֹנוֹ	רְצוֹנוֹ	מחזור יום כיפור עדות המזרח	משנה תורה, הלכות טומאת אוכלים
prefix	הַשְׁלֵךְ	שֶׁלְּךָ	משנה תורה, הלכות שאלה ופיקדון	מחזור יום כיפור עדות המזרח
prefix	הנסקלין	נסקלין	ספר המצוות	יד דוד על משנה תורה, הלכות עדות
prefix	הַטָּלִית	טַלִּית	מחזור יום כיפור עדות המזרח	מחזור יום כיפור עדות המזרח
prefix	מיכוין	יכוין	השגות הראבד על משנה תורה, הלכות חובל ומזיק	מעשה רב
prefix	באספקלריא	אספקלריא	אמרי שפר	אמרי שפר
prefix	והשפעתם	השפעתם	יערות דבש חלק א	תורת העולה
prefix	שראויה	רְאוּיָה	מגדל עוז על משנה תורה, הלכות חמץ ומצה	משנה תורה, הלכות עבדים
prefix	הקימו	קִיְּמוּ	ברית משה	בן יהוידע על מגילה
prefix	בַּחִצִּים	חצים	איכה רבה	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב
prefix	וְקוֹרְאִין	קוֹרְאִין	משנה תורה, הלכות מגילה וחנוכה	משנה תורה, הלכות מגילה וחנוכה
prefix	להצריכה	הצריכה	כסף משנה על משנה תורה, הלכות שלוחין ושותפין	אבן האזל על משנה תורה, הלכות אישות
prefix	בַּעֲבוֹדָתָם	עֲבוֹדָתָם	מחזור יום כיפור עדות המזרח	תלמוד ירושלמי שקלים
prefix	דבגדי	בִּגְדֵּי	משנה למלך על משנה תורה, הלכות כלי המקדש והעובדין בו	תלמוד ירושלמי קידושין
prefix	ליקום	יְקוּם	סידור רשי	תלמוד ירושלמי שקלים
prefix	בתפיסת	תפיסת	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב	אבן האזל על משנה תורה, הלכות שחיטה
prefix	הֶחָזוֹן	חזון	איכה רבה	מעשה רב
prefix	בפקידת	פקידת	אברבנאל על זכריה	כד הקמח
prefix	ואומץ	אומץ	הר המוריה על משנה תורה, הלכות תמורה	קיצור שע ילקוט יוסף החדש - אבן העזר
prefix	החנויות	חֲנוּיוֹת	רמבם משנה כלים	תלמוד ירושלמי שקלים
prefix	בתאות	תֵּאוֹת	כתר שם טוב	מחזור יום כיפור עדות המזרח
prefix	דשור	שׁוֹר	אור שמח על משנה תורה, הלכות ערכים וחרמין	משנה תורה, הלכות מעילה
prefix	לאהלו	אֳהָלוֹ	כסף משנה על משנה תורה, הלכות טומאת צרעת	תלמוד ירושלמי שקלים
prefix	דלטהרות	לטהרות	תוספות יום טוב על משנה נדה	מלאכת שלמה על משנה נדה
prefix	המצריכים	מצריכים	קיצור שע ילקוט יוסף החדש - אבן העזר	קיצור שע ילקוט יוסף החדש - אבן העזר
prefix	בְּהֵמָה	הֵ֖מָּה	תלמוד ירושלמי מעשרות	אסתר
prefix	הגחלת	גַּחֶלֶת	יד איתן על משנה תורה, הלכות נזקי ממון	משנה תורה, הלכות מעילה
prefix	דולקחה	וְלָקְחָה	קרן אורה על יבמות	הזוהר המתורגם - בראשית
prefix	מהימים	הַיַּמִּים֙	גבעת הלבונה	מחזור יום כיפור עדות המזרח
prefix	במומחה	מומחה	חידושי חתם סופר על חולין	קסת הסופר
prefix	בהריגה	הריגה	חדושי הלכות על שבועות	ברית משה
ktiv	להתנבאות	להתנבאת	עבודת המלך על משנה תורה, מסירת תורה שבעל פה	כסא רחמים על אבות דרבי נתן
ktiv	חטאין	חָטָאנ	תשובות הגאונים – מוסאפיה	חק לישראל - דברים
ktiv	שכיחי	שכחי	אבן האזל על משנה תורה, הלכות שחיטה	שפת אמת
ktiv	וְגֵירְשָׁהּ	וגרשה	תלמוד ירושלמי קידושין	יצחק ירנן על משנה תורה, הלכות אישות
ktiv	לדרוסה	לדרסה	מגיד משנה על משנה תורה, הלכות שחיטה	אבן האזל על משנה תורה, הלכות שחיטה
ktiv	התרועה	התרעה	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב	חברותא על תענית
ktiv	לֶאֱחוֹז	לֶאֱחֹז	חגיגה	משיבת נפש
ktiv	בָּעֵדִים	בעדם	תלמוד ירושלמי קידושין	מעשה רקח על הלכות תלמוד תורה
ktiv	שיתקרב	שתקרב	מלאכת שלמה על משנה תורה, הלכות שקלים	חפץ חיים על ספרא
ktiv	הוֹאִיל	הָאַיָּל	משנה תורה, מסירת תורה שבעל פה	איכה רבה
ktiv	הגיבורים	הַגִּבּוֹרִ֔ים	מלאכת שלמה על משנה תורה, הלכות גזילה ואבידה	יואל
ktiv	אעביר	אֵעִבַר	אגרת הקדש	חק לישראל - דברים
ktiv	חוֹרוֹן	חֲרוֹן	בן יהוידע על ראש השנה	איכה רבה
ktiv	מברייתא	מבריתא	ברית משה	חידושי חתם סופר על חולין
ktiv	הרוחק	הַרְחֵק	תורת העולה	תלמוד ירושלמי מעשרות
ktiv	מעלייא	מעליא	סידור רשי	ברית משה
ktiv	תְּאֵינָה	תְאֵנָה	תלמוד ירושלמי מעשרות	משנה פרה
ktiv	וַעֲ֘וֺנִ֤י	ועני	מחזור יום כיפור עדות המזרח	מעשה רקח על הלכות תלמוד תורה
ktiv	ביער	בַעַר	מגדל עוז על משנה תורה, הלכות חמץ ומצה	משיבת נפש
ktiv	תַקִּיפָה	תקפה	איכה רבה	אבן האזל על משנה תורה, הלכות אישות
ktiv	הַטָּלִית	הטלת	מחזור יום כיפור עדות המזרח	מעשי למלך על משנה תורה, הלכות איסורי המזבח
ktiv	מיכוין	מְכַוֵּין	השגות הראבד על משנה תורה, הלכות חובל ומזיק	חגיגה
ktiv	שְׁפִיכָה	שָׁפְכָה	משנה תורה, הלכות טומאת אוכלים	תלמוד ירושלמי קידושין
ktiv	נקימה	נְקָמָה	באר הגולה	מחזור יום כיפור עדות המזרח
ktiv	עציו	עצו	קרית ספר על משנה תורה, הלכות טומאת צרעת	מגיד משנה על משנה תורה, הלכות שופר וסוכה ולולב
ktiv	ליקום	לקום	סידור רשי	מעשה רב
ktiv	הֶחָזוֹן	החזן	איכה רבה	מעשה רב
